sp,x,y
sp21,-39.0275,-16.377778
sp21,-61.193151,10.611195
sp21,-60.67172,6.08131
sp21,-57.58,5.6
sp21,-39.3750349,-17.6521372
sp21,-51.3280556,-30.1011667
sp21,-50.1280556,-29.9755556
sp21,-62.2833333,5.9333333
sp21,-40.4108333,-20.5994444
sp21,-40.4125,-20.6005556
sp21,-54.75,-2.48333
sp21,12.627222,48.202778
sp21,12.956388,48.04778
sp21,12.960556,48.05389
sp21,12.965278,48.051388
sp21,12.964723,48.046112
sp21,12.963611,48.055
sp21,12.939722,48.03611
sp21,12.96,48.053333
sp21,12.9675,48.055
sp21,12.961111,48.058334
sp21,12.936111,48.052776
sp21,12.944445,48.054165
sp21,8.271667,56.831944
sp21,9.087579,55.766751
sp21,10.357981,57.633308
sp21,10.356361,57.632864
sp21,10.45991,57.678969
sp21,8.76738,55.683553
sp21,8.43327,56.923111
sp21,10.357585,57.632712
sp21,8.94118,55.270561
sp21,8.92374,55.282899
sp21,10.389869,57.650211
sp21,10.963408,57.277608
sp21,-64.876693,44.298499
sp21,-70.003459,41.288697
sp21,-64.804268,44.367165
sp21,-68.207149,44.356655
sp21,14.67723,50.545573
sp21,-68.289952,45.422513
sp21,-78.291633,34.088271
sp21,-75.16633,38.304204
sp21,-70.266414,43.820847
sp21,-68.058904,44.609304
sp21,-68.289769,45.421964
sp21,-68.25636,44.389641
sp21,-68.207213,44.356699
sp21,-1.523589,50.870252
sp21,11.802855,55.299428
sp21,-74.53775,39.777306
sp21,-64.978172,44.959043
sp21,-68.289866,45.422618
sp21,-68.249643,44.394828
sp21,-68.207142,44.356705
sp21,12.445675,47.794155
sp21,-68.289835,45.42188
sp21,14.83932,56.85208
sp21,13.43518,56.79646
sp21,14.20365,56.63898
sp21,12.19579,57.86385
sp21,13.1926,56.90781
sp21,13.19884,56.90664
sp21,12.2042,57.37946
sp21,12.04315,57.84183
sp21,12.1687,57.83876
sp21,12.8633,56.96573
sp21,13.19915,56.90638
sp21,12.9161,56.7693
sp21,12.15961,57.84106
sp21,13.42724,56.79461
sp21,13.19988,56.90164
sp21,13.19606,56.90292
sp21,13.02733,56.80324
sp21,16.29994,58.06713
sp21,12.22194,57.64554
sp21,14.20616,56.63784
sp21,12.61604,56.78627
sp21,13.19979,56.90532
sp21,14.2612,58.41974
sp21,13.13479,56.51981
sp21,15.27591,58.85013
sp21,12.72071,59.00447
