sp,x,y
sp21,-38.88280106,-15.86310005
sp21,-38.94720078,-15.67500019
sp21,-41.15610123,-11.55000019
sp21,-39.26580048,-17.73189926
sp21,-58.1667,6.5
sp21,-59.0,5.0
sp21,-50.41669846,-28.6678009
sp21,-47.56000137,-22.40999985
sp21,-38.32419968,-12.69750023
sp21,-41.585722,-22.260972
sp21,-38.287222,-12.755028
sp21,-38.224472,-12.70825
sp21,-38.323944,-12.764167
sp21,-39.260139,-17.530083
sp21,-39.035417,-16.377611
sp21,-39.212472,-15.51325
sp21,-39.034444,-16.025
sp21,-60.1678009,4.595560074
sp21,-55.0,-2.868519
sp21,-41.81140137,-13.57890034
sp21,-41.66109848,-22.18720055
sp21,-58.92,3.88
sp21,-60.25,7.75
sp21,-43.20750046,-22.90279961
sp21,-54.75,2.416667
sp21,-54.23,5.73
sp21,-38.8828,-15.8631
sp21,-39.73220062,-18.59329987
sp21,-40.33779907,-20.31940079
sp21,-39.88,-19.1866666
sp21,-40.40060043,-18.7105999
sp21,-60.0333,4.8
sp21,-57.75,6.55
sp21,-58.2333,6.31667
sp21,-54.75,2.48
sp21,-59.8417,4.66667
sp21,-60.6717,6.08131
sp21,-61.1619,5.66056
sp21,-57.5833,5.6
sp21,12.895,48.057777
sp21,12.388889,47.4475
sp21,12.965834,48.044445
sp21,9.955646,57.579975
sp21,-75.144218,46.244067
sp21,9.851951,53.294211
sp21,-78.848146,44.860084
sp21,-8.25784,40.851269
sp21,-72.924382,42.494305
sp21,25.53256,70.322685
sp21,-60.991597,45.991602
sp21,0.121069,51.09623
sp21,-72.022971,42.800691
sp21,-64.934325,44.368443
sp21,-86.809171,30.709218
sp21,-1.435312,50.8808
sp21,-1.425433,50.92987
sp21,-69.714042,43.870675
sp21,-0.623734,51.03843
sp21,-8.439349,43.226992
sp21,0.004759,51.06365
sp21,-1.692788,50.840601
sp21,-67.338745,44.761517
sp21,-87.98645,47.370128
sp21,-84.526123,37.267159
sp21,-72.562332,40.908791
sp21,-84.577379,37.37947
sp21,-0.759318,51.194339
sp21,16.53038,57.53926
sp21,16.49557,60.3533
sp21,16.7572,59.07275
sp21,12.51543,58.76586
sp21,12.8809,58.50752
sp21,16.57296,59.97864
sp21,16.50166,60.34082
sp21,15.19302,58.6964
sp21,12.22741,57.64452
sp21,9.226641,60.929582
sp21,5.182273,59.682528
sp21,-1.667049,50.920485
sp21,-1.624804,50.866402
sp21,-1.624876,50.85741
sp21,-1.753072,50.794804
sp21,11.071881,57.307158
sp21,0.187939,51.171742
sp21,-70.817941,41.848176
sp21,-1.609019,50.901123
sp21,-90.659736,44.389592
sp21,-66.227968,45.184197
sp21,0.14389,51.015518
sp21,-1.583547,50.8628
sp21,-65.939155,43.893878
sp21,-72.429962,42.51443
sp21,-79.522623,45.0109
sp21,-68.249813,44.377933
sp21,-69.523467,47.766346
sp21,-70.240603,41.666394
sp21,-70.350105,43.614005
sp21,-86.567565,30.588535
sp21,-72.273018,42.56559
sp21,-91.713575,47.658927
sp21,-77.417926,44.717643
sp21,-90.603235,44.393312
sp21,5.706221,58.805249
sp21,-86.226066,30.673962
sp21,-69.631408,46.743763
sp21,-88.618301,45.878537
sp21,-8.760187,41.934839
sp21,-70.368753,44.041836
sp21,-70.000732,41.297247
sp21,-70.549088,41.393483
sp21,-70.988892,44.09897
sp21,-68.832877,48.321783
sp21,0.053846,51.053127
sp21,-67.610053,44.555878
sp21,-75.213991,43.79333
sp21,-74.681765,39.728367
