sp,x,y
sp21,10.374847,47.774899
sp21,-8.46302,41.23515
sp21,9.9681,59.0723
sp21,5.181267,51.528303
sp21,-77.676449,34.490941
sp21,-77.055136,43.146232
sp21,15.15688,58.77808
sp21,6.47112,52.881141
sp21,12.69302,57.73641
sp21,13.02872,56.8623
sp21,7.01124,52.409171
sp21,-86.49719,46.33007
sp21,6.7,52.9
sp21,-3.611,48.20812
sp21,6.82169,52.456563
sp21,-92.309322,45.629594
sp21,-75.097334,38.778235
sp21,16.78428,59.01172
sp21,-85.531855,42.020391
sp21,-6.339634,57.060726
sp21,-1.50051,48.75393
sp21,-90.65445,48.639899
sp21,-65.04818,43.8439
sp21,-8.59793,38.62283
sp21,7.467987,58.02033
sp21,-71.66702,41.62909
sp21,-1.5278,48.76343
sp21,2.45889,45.37192
sp21,8.4378,59.3171
sp21,4.92033,51.24068
sp21,10.708182,52.52495
sp21,15.79805,56.33791
sp21,12.79853,56.96326
sp21,13.01137,56.76428
sp21,14.03053,57.80664
sp21,10.858204,59.080521
sp21,6.443331,52.680049
sp21,12.235298,58.707962
sp21,8.809585,55.836486
sp21,6.25135,52.438844
sp21,11.598777,59.406419
sp21,-92.400833,47.801389
sp21,5.511794,52.032881
sp21,15.55278,56.49369
sp21,4.857756,51.416252
sp21,-3.66832,48.42657
sp21,-61.71742,45.36142
sp21,-78.709556,45.567846
sp21,6.0,52.8
sp21,14.60715,58.75399
sp21,2.13751,47.44216
sp21,6.835664,52.374512
sp21,13.55953,56.13917
sp21,17.08659,60.8098
sp21,5.48623,51.25017
sp21,13.415,53.2485
sp21,-0.72497,44.08372
sp21,11.958227,49.624934
sp21,13.874949,51.324973
sp21,16.31023,60.6123
sp21,6.420307,52.549203
sp21,-1.13845,48.04842
sp21,8.65925,47.19198
sp21,11.526571,59.211448
sp21,6.05,51.2
sp21,6.81158,52.142075
sp21,2.05803,45.59349
sp21,15.767105,59.785784
sp21,5.951951,51.760793
sp21,12.20464,58.80609
sp21,10.059438,59.489157
sp21,5.159842,59.764043
sp21,15.28988,56.72476
sp21,-3.814957,51.819602
sp21,-40.33779907,-20.31940079
sp21,-3.88417,48.34601
sp21,-1.32609,43.88781
sp21,9.374816,50.024915
sp21,-0.86723,48.68682
sp21,14.55222,58.02169
sp21,-87.724288,31.230733
sp21,6.188216,52.786118
sp21,-1.59474,49.15702
sp21,1.0086,45.4747
sp21,4.337502,51.433714
sp21,8.8349,58.9487
sp21,-74.855037,39.24513
sp21,7.374746,52.774922
sp21,17.21653,58.9404
sp21,10.291506,53.07496
sp21,4.374107,51.368295
sp21,8.708122,53.524941
sp21,-74.164036,40.129052
sp21,6.265312,52.298168
sp21,4.58865,51.434619
sp21,6.602227,52.968265
sp21,6.740719,52.732029
sp21,13.259374,56.638118
sp21,7.605326,59.344458
sp21,16.84165,58.64496
sp21,11.74118,58.67681
sp21,6.23829,52.818321
sp21,5.439318,52.051977
sp21,-88.560757,30.618823
sp21,5.698227,51.282239
sp21,5.49494,51.386623
sp21,4.7,53.05
sp21,16.38816,58.74478
sp21,12.01743,49.721706
sp21,-87.83567,30.41492
sp21,11.96287,57.45161
sp21,6.831558,52.280884
sp21,-0.44185,44.02628
sp21,18.54824,59.30074
sp21,-4.048362,50.556722
sp21,9.291468,53.524947
sp21,-1.580928,50.919862
sp21,10.124831,53.57496
sp21,-80.811827,35.024488
sp21,-4.888927,50.448939
sp21,0.01622,44.2494
sp21,13.2093,57.32855
sp21,4.71704,49.77501
sp21,-0.7125,53.4836
sp21,-0.57785,44.53176
sp21,7.49562,49.0764
sp21,-74.779727,39.220086
sp21,5.541589,51.583048
sp21,-73.486732,40.667323
sp21,12.98176,57.56621
sp21,13.02655,56.62864
sp21,2.26928,44.95674
sp21,6.2,51.4
sp21,-0.39581,43.43088
sp21,-89.22265,30.387381
sp21,9.164553,55.685412
sp21,-69.0,45.0
sp21,6.667414,51.868595
sp21,-85.143167,43.06595
sp21,11.291533,53.474976
sp21,21.683942,61.249119
sp21,24.385365,60.160822
sp21,10.958198,47.674909
sp21,0.980574,52.37142
sp21,14.22224,56.33807
sp21,-79.798113,35.182821
sp21,5.55,51.7
sp21,12.08786,58.07586
sp21,-74.802667,45.493705
sp21,15.10108,56.4302
sp21,-0.64618,43.69256
sp21,5.757907,51.600373
sp21,24.620729,60.888093
