sp,x,y
sp12,-47.443406,-13.926089
sp12,-43.560972,-19.29225
sp12,-46.75,-23.900083
sp12,-49.201667,-24.085
sp12,-43.636833,-18.269306
sp12,-47.436639,-13.928111
sp12,-47.436111,-13.925222
sp12,-43.361528,-18.150278
sp12,-41.769111,-13.150583
sp12,-41.965278,-13.528361
sp12,-46.72815,-23.914517
sp12,-46.727167,-23.910222
sp12,-47.468583,-20.256611
sp12,-46.719917,-11.744472
sp12,-49.651333,-25.464472
sp12,-42.410972,-22.355
sp12,-49.369083,-27.733117
sp12,-44.196472,-21.110833
sp12,-47.714028,-16.885806
sp12,-43.497972,-19.219389
sp12,-73.087444,-6.799972
sp12,-43.542722,-18.179333
sp12,-43.785472,-17.916694
sp12,-42.878611,-25.538556
sp12,-49.769331,-25.470083
sp12,-49.233333,-25.333333
sp12,-50.935722,-28.960972
sp12,-43.71440125,-19.16889954
sp12,-48.27719879,-18.91860008
sp12,-45.9,-15.383333
sp12,-47.92969894,-15.77970028
sp12,-49.216588,-26.29284
sp12,-46.63000107,-23.54000092
sp12,-42.96559906,-22.41220093
sp12,-41.66360092,-13.24969959
sp12,-49.6356,-25.5839
sp12,-47.739722,-15.674444
sp12,-47.608056,-15.575556
sp12,-51.83,-26.95
sp12,-50.5842,-27.2831
sp12,-49.2656,-26.1925
sp12,-56.195,-15.6489
sp12,-51.07830048,-26.23810005
sp12,-48.4594,-14.4742
sp12,-43.5455,-18.18195
sp12,-51.0781,-26.2383
sp12,-43.6836,-18.41575
sp12,-43.70265,-18.4234
sp12,-47.9294,-15.7797
sp12,-61.12,-14.52
sp12,-52.8525,-18.6658333
sp12,-54.7833333,-20.5566667
sp12,-54.2763889,-22.2841666
sp12,-52.9925,-18.4013889
sp12,-53.1922222,-19.0230556
sp12,-53.1647222,-18.9819445
sp12,-51.0861111,-19.3136111
sp12,-51.8838889,-19.595
sp12,-54.3630556,-20.6558333
sp12,-54.3983333,-20.5838889
sp12,-54.3980555,-20.5844444
sp12,-52.9061111,-19.1880555
sp12,-53.6580556,-20.6186111
sp12,-52.6875,-20.3686111
sp12,-52.5391666,-20.4866666
sp12,-54.7736111,-21.2230556
sp12,-55.6722223,-20.9275
sp12,-53.2780556,-17.8558333
sp12,-54.5997222,-19.2805556
sp12,-54.39,-18.955
sp12,-52.0919444,-20.2077778
sp12,-55.5358333,-21.5555556
sp12,-54.9377777,-18.9530556
sp12,-53.1936111,-18.9808334
sp12,-53.1933333,-18.9808334
sp12,-49.1541667,-27.6741667
sp12,-50.9355555,-28.9608333
sp12,-51.3683334,-30.5455555
sp12,-47.5167,-13.93593
sp12,-50.7725,-19.1616667
sp12,-51.0869444,-18.1358333
sp12,-50.58440018,-27.28280067
sp12,-47.929166,-15.735833
sp12,-43.029166,-16.316944
sp12,-49.775089,-25.447956
sp12,-49.772333,-25.484789
sp12,-46.426333,-23.39125
sp12,-43.5308334,-17.5538889
sp12,-46.9066667,-11.1280556
sp12,-46.6161111,-10.8627778
sp12,-46.615,-10.8688889
sp12,-48.5841666,-15.5166667
sp12,-47.7413889,-15.6780556
sp12,-47.9333334,-15.8833334
sp12,-47.6080556,-15.5755556
sp12,-61.1166667,-14.5166667
sp12,-59.5833333,-18.3333333
sp12,-75.7166667,6.9166667
sp12,-67.2833333,6.55
sp12,-68.1,-13.7333333
sp12,-55.5333333,-27.2666667
sp12,-48.3833333,-14.3166667
sp12,-62.2833333,5.9333333
sp12,-49.57275,-23.910417
sp12,-48.05,-16.0333334
sp12,-47.9902777,-16.6766667
sp12,-47.9966666,-16.5963889
sp12,-48.8222223,-15.8063889
sp12,-47.7058333,-15.6111111
sp12,-47.5833334,-15.65
sp12,-47.9297223,-15.7797223
sp12,-46.4166667,-10.5833334
sp12,-41.6636111,-13.2497222
sp12,-48.2772223,-18.9186111
sp12,-47.7,-15.4730556
sp12,-43.7144444,-19.1688889
sp12,-47.5533333,-15.2697223
sp12,-51.5572222,-15.9011111
sp12,-51.8544444,-15.8836111
sp12,-50.0811111,-17.6875
sp12,-50.1022222,-17.7791667
sp12,-51.8666667,-12.9
sp12,-47.8666667,-15.6833334
sp12,-48.055,-16.0483333
sp12,-46.041667,-11.621389
sp12,-41.886667,-13.3775
sp12,-47.741389,-15.678056
sp12,-51.833333,-26.95
sp12,-48.8333,-13.75
sp12,-49.7333,-25.8
sp12,-47.58,-15.65
sp12,-43.972747,-20.136319
sp12,-46.616111,-10.862778
sp12,-47.929722,-15.779722
sp12,-48.136028,-15.77737
sp12,-48.135969,-15.77718
sp12,-47.425,-16.539722
sp12,-41.454167,-13.09
sp12,-73.050556,6.475278
sp12,-37.515,-12.148333
sp12,-43.298889,-19.132778
sp12,-44.148889,-17.521389
sp12,-39.102778,-17.035278
sp12,-47.256944,-13.553056
sp12,-47.261111,-13.554167
sp12,-47.261667,-13.550278
sp12,-47.4225,-16.530833
sp12,-43.333889,-19.173333
sp12,-48.459444,-14.474167
sp12,-43.333889,-19.173056
sp12,-43.377222,-18.156944
sp12,-43.214167,-18.086111
sp12,-47.263889,-13.560556
sp12,-43.295278,-19.131111
sp12,-50.584167,-27.283056
sp12,-49.265556,-26.1925
sp12,-51.078056,-26.238333
sp12,-50.935833,-28.960833
sp12,-48.134022,-15.774757
sp12,-53.193333,-18.980833
sp12,-54.398055,-20.584444
sp12,-75.12667,6.79143
sp12,-73.087444,6.799972
sp12,-55.533333,-27.266667
