sp,x,y
sp12,-46.555167,-23.896694
sp12,-52.9925,-18.401389
sp12,-46.390278,-16.115833
sp12,-46.416667,-10.583333
sp12,-50.05085475,-29.38415677
sp12,-43.74499893,-19.5135994
sp12,-46.615,-10.868889
sp12,-41.95,-13.516667
sp12,-55.672222,-20.9275
sp12,-46.195833,-14.121389
sp12,-48.836222,-15.800833
sp12,-42.584,-22.280028
sp12,-51.883889,-19.595
sp12,-46.386944,-23.552222
sp12,-46.72,-11.744444
sp12,-50.7725,-19.161667
sp12,-47.301389,-10.421667
sp12,-43.579778,-18.367917
sp12,-42.300278,-14.524167
sp12,-52.6875,-20.368611
sp12,-46.331944,-23.534722
sp12,-47.444247,-13.93475
sp12,-52.671639,-17.150556
sp12,-45.592778,-12.584444
sp12,-50.556036,-29.442422
sp12,-48.7757988,-15.79440022
sp12,-38.171389,-12.451944
sp12,-43.700667,-19.153528
sp12,-51.499722,-16.569722
sp12,-52.533333,-18.156667
sp12,-56.01242,-25.46932
sp12,-43.692528,-18.275389
sp12,-42.4775,-15.490833
sp12,-46.538028,-20.309639
sp12,-44.31809998,-21.02190018
sp12,-51.73419952,-19.11330032
sp12,-47.4510994,-6.560560226
sp12,-49.047222,-18.467222
sp12,-54.783333,-20.556667
sp12,-49.742889,-25.441861
sp12,-55.45,-23.9
sp12,-75.158335,7.051779
sp12,-48.1,-15.516667
sp12,-54.937778,-18.953056
sp12,-53.278056,-17.855833
sp12,-54.773611,-21.223056
sp12,-47.288778,-10.653139
sp12,-44.0925,-22.022778
sp12,-51.2425,-17.501389
sp12,-53.192222,-19.023056
sp12,-48.082889,-15.998056
sp12,-46.906667,-11.128056
sp12,-44.60309982,-21.97559929
sp12,-46.90999985,-23.60000038
sp12,-44.392778,-21.265
sp12,-54.39,-18.954722
sp12,-43.566278,-18.272972
sp12,-46.267528,-23.760556
sp12,-61.063056,4.555278
sp12,-51.086556,-16.806833
sp12,-47.616694,-16.676083
sp12,-46.7269,-23.3217
sp12,-49.369167,-27.733056
sp12,-48.801389,-17.024167
sp12,-47.391667,-14.080556
sp12,-43.498778,-18.261694
sp12,-47.996667,-16.596389
sp12,-52.620083,-17.610056
sp12,-50.58489959,-27.28700095
sp12,-43.61,-19.229222
sp12,-51.71440125,-17.88139915
sp12,-47.503972,-10.704694
sp12,-47.437778,-13.917167
sp12,-46.75,-23.9
sp12,-67.283333,6.55
sp12,-41.456944,-13.090278
sp12,-47.635833,-16.711556
sp12,-43.334722,-18.215278
sp12,-49.280278,-19.016111
sp12,-49.191556,-27.667222
sp12,-43.319778,-18.4015
sp12,-48.05,-15.86667
sp12,-52.539167,-20.486667
sp12,-47.705833,-15.611111
sp12,-48.083333,-14.183333
sp12,-44.333858,-21.415033
sp12,-54.276389,-21.284167
sp12,-46.332572,-14.203506
sp12,-55.53,-27.27
sp12,-75.066667,6.916667
sp12,-43.245833,-21.48
sp12,-48.95920181,-15.85249996
sp12,-42.915072,-16.588811
sp12,-41.5225,-13.257778
sp12,-50.40999985,-22.65999985
sp12,-49.14,-25.2
sp12,-43.8897,-19.6272
sp12,-44.295611,-17.704528
sp12,-67.333333,0.083333
sp12,-50.102222,-17.779167
sp12,-45.853972,-15.525611
sp12,-49.13999939,-24.30999947
sp12,-49.2333333,-25.3333333
sp12,-55.535833,-21.555556
sp12,-48.076111,-13.56528
sp12,-45.390833,-15.109167
sp12,-49.120556,-24.050556
sp12,-50.16189957,-25.09499931
sp12,-42.500944,-14.878111
sp12,-43.581944,-19.279167
sp12,-57.03333,-25.55
sp12,-44.388972,-17.763778
sp12,-75.241342,7.020252
