sp,x,y
sp26,-43.60029984,-18.24939919
sp26,-44.98529816,-21.72220039
sp26,-36.010444,-8.391583
sp26,-43.566667,-19.290278
sp26,-44.672417,-22.400306
sp26,-48.768222,-15.853361
sp26,-41.961528,-13.528306
sp26,-47.497486,-13.956833
sp26,-47.499111,-13.963844
sp26,-49.646236,-25.469375
sp26,-49.646244,-25.469111
sp26,-49.655556,-25.46125
sp26,-49.652872,-25.461694
sp26,-41.883333,-13.266667
sp26,-45.59000015,-22.72999954
sp26,-45.489167,-22.6925
sp26,-44.502572,-21.223844
sp26,-47.933333,-15.883333
sp26,-48.9544444,-26.0391666
sp26,-45.3238889,-22.5811111
sp26,-48.9533333,-26.0366666
sp26,-55.3027778,-19.6855555
sp26,-57.5727778,-17.9077778
sp26,-43.4927778,-20.1263
sp26,-47.9294,-15.7797
sp26,-46.9925,-18.9439
sp26,-64.53506,-20.7478
sp26,-44.9731,-12.3633
sp26,-46.3858,-21.9236
sp26,-43.6003,-18.2494
sp26,-43.59195,-18.16125
sp26,-48.80861,-15.7880556
sp26,-47.6094444,-14.1167
sp26,-47.9333334,-15.8833334
sp26,-48.0647222,-15.6219445
sp26,-47.6277778,-14.1775
sp26,-43.6002778,-18.2494444
sp26,-47.8911111,-15.9166667
sp26,-47.9297223,-15.7797223
sp26,-47.8847222,-15.7347222
sp26,-47.92969894,-15.77970028
sp26,-41.963889,-13.530833
sp26,-48.979083,-26.032306
sp26,-45.61225,-22.76
sp26,-64.4983333,-19.6488889
sp26,-68.3613333,-14.6075667
sp26,-42.773333,-15.810556
sp26,-42.7394444,-15.6472222
sp26,-41.389444,-13.005833
sp26,-41.849444,-13.33
sp26,-41.85,-13.316667
sp26,-41.391388,-12.999461
sp26,-47.929722,-15.779722
sp26,-43.600278,-18.249444
sp26,-42.739444,-15.647222
sp26,-43.492778,-20.126389
sp26,-41.57,-13.32
sp26,-47.295556,-13.575
sp26,-46.385833,-21.923611
sp26,-48.954444,-26.039167
