sp,x,y
sp26,-41.383333,-12.55
sp26,-47.42163,-13.92979
sp26,-42.760556,-22.354167
sp26,-43.452222,-17.531111
sp26,-41.833333,-13.133333
sp26,-68.361333,-14.607567
sp26,-47.468583,-20.256611
sp26,-41.391389,-12.999444
sp26,-44.408611,-22.231111
sp26,-44.693917,-22.781
sp26,-45.308722,-22.592417
sp26,-44.17219925,-17.75749969
sp26,-45.95,-23.266667
sp26,-43.848611,-20.228611
sp26,-41.904444,-13.093056
sp26,-47.609444,-14.1167
sp26,-47.496917,-13.956917
sp26,-48.80914036,-15.79177495
sp26,-43.961083,-17.127778
sp26,-49.437139,-26.332028
sp26,-49.94860077,-24.52610016
sp26,-47.874,-15.726306
sp26,-46.538028,-18.586111
sp26,-43.8,-20.2
sp26,-44.690444,-22.386083
sp26,-43.80139923,-20.25329971
sp26,-61.5,-17.5
sp26,-47.627778,-14.1775
sp26,-41.855556,-13.329444
sp26,-42.687639,-14.124556
sp26,-49.860556,-28.703889
sp26,-43.783611,-17.915556
sp26,-42.88970184,-16.55940056
sp26,-41.88,-13.27
sp26,-41.372028,-13.556111
sp26,-46.36579895,-20.24530029
sp26,-42.53110123,-22.28190041
sp26,-43.665278,-20.162778
sp26,-41.209444,-11.591111
sp26,-45.545833,-22.672222
sp26,-44.102778,-17.433333
sp26,-41.535556,-13.225556
sp26,-44.88999939,-21.95890045
sp26,-43.565,-18.200278
sp26,-49.71,-24.26
sp26,-49.52830124,-25.45859909
sp26,-44.502881,-21.220075
sp26,-47.419444,-20.197222
sp26,-41.66360092,-13.24969959
sp26,-48.45970154,-14.47389984
sp26,-46.466667,-20.2
sp26,-43.701389,-20.1045
sp26,-44.17810059,-21.11030006
sp26,-43.01079941,-16.87220001
sp26,-49.768333,-25.47
sp26,-47.50999832,-14.13249969
sp26,-50.21500015,-16.12669945
sp26,-47.856125,-15.907056
sp26,-44.23419952,-17.31500053
sp26,-46.525444,-20.3085
sp26,-43.594289,-19.292667
sp26,-44.196472,-21.110833
sp26,-43.909194,-21.721222
sp26,-43.4,-18.87
sp26,-44.26169968,-21.13559914
sp26,-47.889611,-15.699444
sp26,-41.319167,-13.690306
sp26,-41.09220123,-3.562220097
sp26,-47.437778,-13.917167
sp26,-43.482778,-20.417222
sp26,-45.323889,-22.581111
sp26,-43.897222,-20.278333
sp26,-64.8,-21.61667
sp26,-43.562,-19.303944
sp26,-43.560972,-19.294417
sp26,-41.501944,-13.202222
sp26,-41.90439987,-20.5230999
sp26,-44.05279922,-20.33309937
sp26,-43.717222,-19.033056
sp26,-43.639028,-18.26275
sp26,-64.498333,-19.648889
sp26,-41.8,-13.583333
sp26,-35.12278,-6.6975
sp26,-41.366667,-13.083333
sp26,-41.186944,-13.4125
sp26,-68.01,-15.75
sp26,-41.234167,-13.397778
sp26,-48.105646,-15.713881
sp26,-44.96670151,-22.39030075
sp26,-55.302778,-19.685555
sp26,-64.435,-16.7261
sp26,-44.99969864,-21.24530029
sp26,-44.02675,-20.076861
sp26,-43.4899,-18.469842
sp26,-47.92987267,-15.78342081
sp26,-47.891111,-15.916667
sp26,-48.064722,-15.621944
sp26,-42.776667,-15.799722
sp26,-43.506944,-20.408056
sp26,-37.343056,-10.753889
sp26,-43.5425,-19.5175
sp26,-46.081528,-19.658944
sp26,-64.9,-21.6
sp26,-64.3,-18.96
sp26,-43.79309845,-21.84250069
sp26,-48.08168,-15.94305
sp26,-41.305833,-13.676944
sp26,-43.755842,-17.88655
sp26,-43.504839,-20.388639
sp26,-47.65562,-14.1167
sp26,-47.509167,-14.083056
sp26,-49.148,-27.695861
sp26,-47.966667,-15.8
sp26,-41.294167,-12.36
sp26,-43.84669876,-19.98559952
sp26,-43.40750122,-20.0746994
sp26,-46.38618493,-21.92743843
sp26,-41.914306,-13.081056
sp26,-42.741944,-15.648889
sp26,-43.42499924,-19.03720093
sp26,-50.031916,-29.349415
sp26,-48.05,-15.866667
sp26,-41.898444,-13.382333
sp26,-45.59,-22.73
sp26,-42.555278,-14.553611
sp26,-43.492778,-20.1263
sp26,-43.603505,-18.241787
sp26,-43.461667,-19.5875
sp26,-41.834722,-13.595278
sp26,-43.889167,-21.707889
sp26,-44.670722,-22.38425
sp26,-49.34000015,-24.11000061
sp26,-46.521111,-18.432222
sp26,-43.631667,-20.147778
sp26,-49.748611,-25.43875
sp26,-41.341667,-12.991667
sp26,-44.07970047,-21.05750084
sp26,-41.276667,-12.950556
sp26,-47.69379,-16.75
sp26,-47.770444,-14.164833
sp26,-44.56999969,-22.63999939
sp26,-50.00640106,-25.42939949
sp26,-44.56330109,-22.49609947
sp26,-42.915,-16.588889
sp26,-43.275278,-20.072222
sp26,-43.436667,-20.153611
sp26,-41.094331,-13.625999
sp26,-42.02939987,-20.73310089
sp26,-46.8015,-20.148556
sp26,-50.41360092,-24.50939941
sp26,-43.605,-20.197222
sp26,-44.687,-21.353139
sp26,-41.466667,-12.45
sp26,-41.9,-13.25
sp26,-45.540301,-22.687374
sp26,-50.05146294,-29.38066711
sp26,-43.983611,-20.093056
