sp,x,y
sp32,-35.141944,-6.741944
sp32,-42.82640076,-2.746939898
sp32,-49.020694,-14.385139
sp32,-47.68375,-0.615194
sp32,-46.881333,-10.270139
sp32,-46.077528,-14.390583
sp32,-57.093222,-15.173194
sp32,-41.70920181,-3.928060055
sp32,-59.333333,3.75
sp32,-59.65,2.966667
sp32,-63.166667,-7.516667
sp32,-53.0033333,-18.37
sp32,-54.9,-9.366667
sp32,-60.183333,2.416667
sp32,-52.23,-14.63
sp32,-67.33,6.73
sp32,-60.8311,-13.6539
sp32,-67.27,6.6
sp32,-51.8219,-16.4269
sp32,-47.68,-0.62
sp32,-47.08283,-15.2905556
sp32,-38.6531,-3.7361
sp32,-41.7002778,-4.1313889
sp32,-47.5652778,-11.1913889
sp32,-41.7091667,-3.9280556
sp32,-51.8544444,-15.8836111
sp32,-41.7202778,-4.1166667
sp32,-52.2333334,-14.6333334
sp32,-49.016666,-14.366666
sp32,-47.561388,-12.921111
sp32,-52.233333,-14.633333
sp32,-67.3333333,6.7333333
sp32,-67.5666667,6.6833333
sp32,-59.3333333,3.75
sp32,-51.82220078,-16.42690086
sp32,-41.72025,-4.116778
sp32,-50.371667,-6.390556
sp32,-60.1833,2.4167
sp32,-46.548389,-10.268722
sp32,-51.821944,-16.426944
sp32,-38.653056,-3.736111
sp32,-47.082778,-15.290556
sp32,-57.093333,-15.173056
sp32,-42.510278,-2.400833
sp32,-49.011944,-14.228611
sp32,-49.011389,-14.230556
sp32,-47.236111,-13.529444
sp32,-35.445833,-5.577222
sp32,-67.86889,5.33917
sp32,-67.49944,6.06128
sp32,-67.67681,5.61886
