sp,x,y
sp32,-60.208,2.467
sp32,-60.560833,3.330833
sp32,-51.854444,-15.883611
sp32,-52.401667,-17.090278
sp32,-50.891667,-11.6
sp32,-35.125833,-6.838889
sp32,-35.448889,-5.575278
sp32,-36.24000168,-7.259439945
sp32,-46.660555,-10.314444
sp32,-52.671639,-17.150556
sp32,-41.733333,-4.083333
sp32,-35.151667,-5.999722
sp32,-63.5,6.75
sp32,-65.9119,7.0758
sp32,-67.6,5.62
sp32,-50.14030075,-15.9343996
sp32,-46.859472,-11.405417
sp32,-42.826389,-2.746944
sp32,-60.6733017,2.81972003
sp32,-47.234722,-13.530278
sp32,-44.486417,-13.815472
sp32,-57.093055,-15.173056
sp32,-49.457215,-8.004937
sp32,-60.208333,2.45
sp32,-46.548333,-10.268611
sp32,-46.524667,-10.372667
sp32,-49.0,-14.38333
sp32,-45.583333,-15.466667
sp32,-59.68,3.47
sp32,-67.676806,5.618861
sp32,-56.791778,-15.452722
sp32,-51.241111,-16.370556
sp32,-48.51670074,-0.753332973
sp32,-61.035278,4.170556
sp32,-51.499722,-16.569722
sp32,-57.65330124,-19.00919914
sp32,-51.115333,-11.610278
sp32,-59.65,2.96
sp32,-35.468333,-5.236111
sp32,-58.652426,2.112749
sp32,-35.391389,-5.390278
sp32,-42.8405,-2.675972
sp32,-47.400306,-13.892722
sp32,-41.5,-4.083333
sp32,-59.33,3.75
sp32,-42.850889,-2.669028
sp32,-46.659995,-12.819129
sp32,-43.20017,-2.508475
sp32,-45.976306,-15.785
sp32,-47.264444,-10.390556
sp32,-67.84807,5.24462
sp32,-47.565278,-11.191389
sp32,-61.064778,4.285167
sp32,-46.043889,-14.2325
sp32,-52.656083,-17.153028
sp32,-45.47499847,-9.925279617
sp32,-43.919722,-2.8175
sp32,-49.0075,-14.223056
sp32,-46.511667,-11.255556
sp32,-46.431111,-11.443889
sp32,-52.67860031,-17.35359955
sp32,-59.65,2.97
sp32,-36.403056,-6.745
sp32,-42.5025,-2.403333
sp32,-35.363889,-5.380278
sp32,-60.976333,-3.653222
sp32,-47.08283,-15.290556
sp32,-35.353056,-5.895278
sp32,-47.265833,-10.533889
sp32,-41.732333,-3.9565
sp32,-65.51,0.45
sp32,-46.332572,-14.203506
sp32,-65.51,-0.45
sp32,-46.525278,-10.161111
sp32,-51.843472,-16.960306
sp32,-52.55110168,-17.56940079
sp32,-67.674802,5.688553
sp32,-60.583611,3.387222
sp32,-49.14080048,-14.52470016
sp32,-40.8260994,-3.120280027
sp32,-66.23333,7.95
sp32,-47.655174,-14.055392
sp32,-41.713333,-4.106667
sp32,-50.440861,-2.014247
sp32,-66.41666,7.16666
sp32,-53.003333,-18.37
sp32,-60.83111,-13.65388
sp32,-47.683333,-0.616667
sp32,-61.7,3.7
sp32,-67.333333,6.733333
sp32,-67.53333,6.7
sp32,-68.50487,5.57297
sp32,-47.947778,-11.320556
sp32,-40.883333,-4.666667
sp32,-60.18,2.416667
sp32,-60.0,3.1
sp32,-49.020833,-14.375028
sp32,-35.142056,-6.741861
sp32,-61.1,1.6
sp32,-47.561389,-12.921111
sp32,-52.392222,-17.087222
sp32,-67.499444,6.061278
sp32,-41.709167,-3.928056
sp32,-67.33,5.8
sp32,-60.583611,-3.387222
sp32,-47.4693985,-7.332779884
sp32,-50.66939926,-11.6171999
sp32,-67.0,9.4
sp32,-35.12222,-6.69833
sp32,-46.762446,-12.814596
sp32,-54.8,-19.333333
sp32,-41.700278,-4.131389
sp32,-63.17,-7.516667
sp32,-46.719917,-11.744472
sp32,-50.533056,-11.36
sp32,-52.35309982,-14.67329979
sp32,-55.1,-15.44
sp32,-51.08309937,-14.92029953
sp32,-44.291111,-13.485556
sp32,-46.513333,-11.241944
sp32,-51.403222,-16.618472
sp32,-38.65296503,-3.739512366
sp32,-59.9,3.5
sp32,-60.935306,3.552222
sp32,-52.23,-15.28
sp32,-66.27,4.3
sp32,-42.070556,-4.861944
sp32,-43.141389,-11.089444
sp32,-55.166667,-15.733333
sp32,-41.435556,-3.572222
sp32,-41.90309906,-2.890000105
sp32,-51.81029892,-16.95669937
sp32,-47.6996994,-0.717499971
sp32,-67.868889,5.339167
sp32,-51.814167,-15.719722
sp32,-51.065556,-11.363611
sp32,-55.175,-17.909167
sp32,-67.710611,6.088333
sp32,-35.151111,-6.743594
sp32,-36.756167,-10.616861
sp32,-41.720278,-4.116667
sp32,-61.7,3.4
sp32,-46.36940002,-14.09309959
sp32,-67.5,5.58
sp32,-55.74969864,-15.4605999
sp32,-47.50999832,-14.13249969
