sp,x,y
sp5,-48.67029953,-28.23999977
sp5,-48.6703,-28.24
sp5,-49.216588,-26.29284
sp5,-49.2166667,-26.2927777
sp5,-49.4858017,-28.93470001
sp5,-49.647144,-25.471556
sp5,-49.651333,-25.464472
sp5,-49.651733,-25.469889
sp5,-49.7266667,-29.3352778
sp5,-49.72689819,-29.33530045
sp5,-49.742889,-25.441861
sp5,-50.123056,-25.906111
sp5,-51.0155556,-30.2766667
sp5,-51.3280556,-30.1011667
sp5,-52.7092979,-30.8418095
sp5,-56.53916667,-30.1725
sp5,-95.942216,34.018688
sp5,-98.35281,26.83472
sp5,-84.153332,22.098712
