sp,x,y
sp5,-37.315,-10.758056
sp5,-37.34325,-10.787278
sp5,-47.91999817,-25.01000023
sp5,-48.4544444,-27.6291667
sp5,-48.48,-27.5922222
sp5,-48.494944,-27.456167
sp5,-48.50920105,-25.52000046
sp5,-48.54919815,-27.59670067
sp5,-48.66775,-28.173972
sp5,-48.725167,-28.353389
sp5,-48.774083,-28.453556
sp5,-48.78079987,-28.48250008
sp5,-48.8361111,-28.6086111
sp5,-48.930306,-25.32525
sp5,-49.033056,-25.511111
sp5,-49.06330109,-25.44169998
sp5,-49.07690048,-25.36560059
sp5,-49.163583,-27.699083
sp5,-49.216667,-26.292778
sp5,-49.23766,-25.447303
sp5,-49.258861,-28.856222
sp5,-49.27310181,-25.42779922
sp5,-49.276639,-28.856528
sp5,-49.3002778,-28.7138889
sp5,-49.421889,-28.985389
sp5,-49.4861111,-28.9352777
sp5,-49.578167,-29.159611
sp5,-49.6356,-25.5839
sp5,-49.652872,-25.461694
sp5,-49.7057991,-24.25110054
sp5,-49.71580124,-25.7696991
sp5,-49.748611,-25.43875
sp5,-49.777375,-25.472111
sp5,-49.79750061,-26.10580063
sp5,-49.842194,-25.287444
sp5,-49.9327,-28.622183
sp5,-49.94860077,-24.52610016
sp5,-50.00640106,-25.42939949
sp5,-50.01190186,-24.79109955
sp5,-50.083611,-29.165722
sp5,-50.123083,-25.906028
sp5,-50.13359833,-29.98469925
sp5,-50.1446991,-29.04780006
sp5,-50.16189957,-25.09499931
sp5,-50.2013889,-27.66
sp5,-50.2696991,-29.88669968
sp5,-50.41360092,-24.50939941
sp5,-50.5196991,-29.81749916
sp5,-50.58359909,-29.44809914
sp5,-50.92110062,-31.10689926
sp5,-50.9919014,-29.94440079
sp5,-51.02330017,-30.08110046
sp5,-51.0405,-31.1713
sp5,-51.143791,-29.75136
sp5,-51.14720154,-29.76029968
sp5,-51.1794014,-29.16810036
sp5,-51.22999954,-30.03310013
sp5,-51.32500076,-30.11389923
sp5,-51.46110153,-29.68860054
sp5,-51.61610031,-30.08390045
sp5,-51.72919846,-30.07719994
sp5,-51.9575,-31.349167
sp5,-51.97829819,-31.36529922
sp5,-52.09859848,-32.03499985
sp5,-52.48389816,-31.76329994
sp5,-52.52190018,-30.54389954
sp5,-52.70951378,-30.84215386
sp5,-53.11529922,-30.87190056
sp5,-53.49140167,-30.5121994
sp5,-53.80690002,-29.68420029
sp5,-53.89719229,-29.61902814
sp5,-54.0,-30.0
sp5,-55.0304,-29.3701
sp5,-55.495762,-30.8552
sp5,-55.53279877,-30.89080048
sp5,-55.58333,-27.38333
sp5,-55.7933,-32.8667
sp5,-57.25,-25.31666
sp5,-97.98406,29.4149
sp5,-95.03333,31.16667
sp5,-97.17036,30.07258
sp5,-95.29919,29.15353
sp5,-96.08333,30.96833
sp5,-97.33194,30.27472
sp5,-97.46025,29.80269
sp5,-95.17361,29.2325
sp5,-94.16667,30.25
sp5,-95.13583,30.91444
sp5,-94.275,31.07417
sp5,-97.15894,30.04822
sp5,-97.32361,27.63056
sp5,-95.16667,30.11667
sp5,-94.69722,30.94583
sp5,-95.67209,29.27112
sp5,-97.28611,30.10861
sp5,-97.20778,27.82778
sp5,-94.20028,31.05833
sp5,-96.911,30.3995
sp5,-94.76492,29.53055
sp5,-97.44367,28.56483
sp5,-97.2294,27.6296
sp5,-94.18472,31.03889
sp5,-98.34886,26.83206
sp5,-96.5375,30.29556
sp5,-93.93139,31.11583
sp5,-95.031625,29.300628
sp5,-98.3599,26.83397
sp5,-95.950252,34.00451
sp5,-95.950156,34.021945
sp5,-95.02151,29.51503
sp5,-95.35,29.75
sp5,-102.0,23.0
sp5,-92.5,16.5
sp5,-79.294497,33.121457
sp5,-93.779212,31.236317
sp5,-95.459402,29.870518
sp5,-90.037576,30.493042
sp5,-84.733253,31.098718
sp5,-87.297357,33.803335
sp5,-94.143956,29.882217
sp5,-94.030417,30.920195
sp5,-84.533774,32.942687
sp5,-77.889435,34.2209
sp5,-94.390222,30.332373
sp5,-97.383652,28.542377
sp5,-84.9932,29.729793
sp5,-93.449184,30.446778
sp5,-81.685353,28.852768
sp5,-82.449502,27.999068
sp5,-95.750782,30.281966
sp5,-90.108807,30.479464
sp5,-76.345222,37.029869
sp5,-81.725689,30.319145
sp5,-81.697593,30.065241
sp5,-92.16404,34.38065
sp5,-95.32495,32.056
sp5,-88.80672,33.472344
sp5,-81.707836,30.317959
sp5,-96.031119,33.129969
sp5,-79.171631,33.479375
sp5,-96.017686,34.15034
sp5,-85.647705,30.081037
sp5,-87.072192,31.134208
sp5,-82.332036,29.696677
sp5,-79.7333,33.6333
sp5,-85.5153,32.6661
sp5,-96.19468,30.53854
sp5,-97.396381,27.510133
sp5,-84.584618,30.577829
sp5,-77.94471,34.225726
sp5,-95.367176,32.434867
sp5,-92.0,31.0
sp5,-82.0,28.0
sp5,-99.170653,31.391533
sp5,-80.0,37.0
sp5,-80.0,35.5
sp5,-75.0,43.0
sp5,-75.0,40.0
sp5,-90.0,33.0
sp5,-76.0,40.8333
sp5,-96.3408,30.6161
sp5,-48.67086911,-28.24392158
sp5,-79.618941,21.870604
sp5,-81.36954,31.15051
sp5,-86.089444,31.99
sp5,-51.015556,-30.276667
sp5,-95.75,17.416667
sp5,-91.75,16.1
sp5,-88.783333,17.0
sp5,-82.7257,29.4357
sp5,-82.7242,29.3664
sp5,-51.068056,-31.286944
sp5,-55.051111,-29.616944
sp5,-56.539167,-30.1725
sp5,-51.328056,-30.101167
sp5,-49.726667,-29.335278
sp5,-93.08611,31.39772
sp5,-96.48537,30.48951
sp5,-88.9512,30.4815
sp5,-84.15,22.1
sp5,-94.704672,37.096814
