sp,x,y
sp19,-47.92969894,-15.77970028
sp19,-43.566667,-19.290278
sp19,-43.554,-19.293722
sp19,-47.61360168,-16.76860046
sp19,-47.444247,-13.93475
sp19,-47.443406,-13.926089
sp19,-41.950056,-13.523278
sp19,-47.639778,-16.711139
sp19,-43.623889,-18.257694
sp19,-47.436639,-13.928111
sp19,-43.552639,-19.260333
sp19,-43.561139,-19.295111
sp19,-43.560972,-19.294417
sp19,-43.583833,-19.287444
sp19,-43.558611,-19.263333
sp19,-43.621,-18.254611
sp19,-44.193194,-17.706944
sp19,-48.934306,-15.844
sp19,-47.11045,-20.307383
sp19,-55.7645,-15.440333
sp19,-47.645861,-16.687583
sp19,-48.77355,-15.81375
sp19,-48.95920181,-15.85249996
sp19,-47.9333334,-15.8833334
sp19,-47.7397222,-15.6744445
sp19,-47.5094444,-14.0727778
sp19,-48.8783334,-15.8075
sp19,-44.99,-12.1527778
sp19,-48.625,-17.7416666
sp19,-48.0038889,-15.9125
sp19,-47.5,-13.7666667
sp19,-49.6088889,-16.4236111
sp19,-43.7922222,-17.9036111
sp19,-47.5413889,-14.1044444
sp19,-47.5444444,-14.1055556
sp19,-47.9297223,-15.7797223
sp19,-48.9591667,-15.8525
sp19,-48.625,-17.74169922
sp19,-48.18333,-15.91667
sp19,-48.053888,-16.04
sp19,-48.003888,-14.9125
sp19,-44.193056,-17.708361
sp19,-59.6666667,-18.2666667
sp19,-47.684444,-16.721666
sp19,-47.854544,-15.878858
sp19,-47.854763,-15.878903
sp19,-48.4625,-15.485
