sp,x,y
sp36,-43.581944,-19.279167
sp36,-43.361528,-18.150278
sp36,-43.509417,-19.24875
sp36,-43.623889,-18.257694
sp36,-41.3869,-12.997717
sp36,-41.769111,-13.150583
sp36,-41.94825,-13.519333
sp36,-41.466917,-12.603389
sp36,-41.460389,-12.600417
sp36,-47.610972,-14.161444
sp36,-43.560972,-19.29225
sp36,-43.56025,-19.299806
sp36,-43.583556,-19.286861
sp36,-43.560972,-19.292167
sp36,-43.575833,-19.285278
sp36,-43.567278,-19.339278
sp36,-46.526944,-20.3045
sp36,-44.286528,-17.691
sp36,-43.507639,-19.224139
sp36,-43.324139,-18.408306
sp36,-43.339417,-18.408528
sp36,-44.645083,-21.464333
sp36,-43.497972,-19.219389
sp36,-43.552639,-19.260333
sp36,-43.554861,-19.260194
sp36,-43.497917,-19.221139
sp36,-43.327056,-18.211833
sp36,-43.537583,-19.319333
sp36,-43.621,-18.254611
sp36,-43.499167,-19.220278
sp36,-43.323583,-17.079667
sp36,-43.785472,-17.916694
sp36,-42.915219,-16.589181
sp36,-41.389444,-13.005833
sp36,-43.6919,-20.5208
sp36,-43.71440125,-19.16889954
sp36,-41.37080002,-13.00529957
sp36,-43.60029984,-18.24939919
sp36,-43.74499893,-19.5135994
sp36,-43.01079941,-16.87220001
sp36,-43.0106,-16.8722
sp36,-43.6003,-18.2494
sp36,-43.745,-19.5136111
sp36,-43.7144444,-19.1688889
sp36,-41.949444,-13.515833
sp36,-46.528774,-20.299234
sp36,-43.03243,-16.853133
