sp,x,y
sp23,-48.82,-25.1321
sp23,-48.5746994,-25.88279915
sp23,-45.673611,-23.653639
sp23,-46.338028,-23.774222
sp23,-43.324139,-18.408306
sp23,-43.375056,-18.153694
sp23,-43.3685,-18.152917
sp23,-43.033639,-22.464889
sp23,-46.646278,-23.922194
sp23,-49.742889,-25.441861
sp23,-42.585283,-22.352628
sp23,-49.366306,-28.056417
sp23,-46.337583,-23.773444
sp23,-46.470139,-23.849972
sp23,-43.634889,-18.186472
sp23,-49.750519,-25.438444
sp23,-49.752936,-25.433481
sp23,-49.768489,-25.464972
sp23,-49.05530167,-25.30559921
sp23,-42.96559906,-22.41220093
sp23,-49.2655983,-26.19249916
sp23,-46.40999985,-23.70999908
sp23,-48.8197223,-25.1316667
sp23,-46.33,-23.77
sp23,-49.3967,-28.3931
sp23,-49.2656,-26.1925
sp23,-49.0553,-25.3058
sp23,-46.4097,-23.71
sp23,-43.5081,-20.2878
sp23,-41.796687,-20.434034
sp23,-42.9656,-22.4122
sp23,-49.364892,-28.059336
sp23,-48.979083,-26.032306
sp23,-49.768333,-25.465278
sp23,-49.763806,-25.467972
sp23,-49.772722,-25.484853
sp23,-43.5080986,-20.28750038
sp23,-43.788889,-18.035833
sp23,-48.6666667,-25.6
sp23,-48.7780556,-25.2561111
sp23,-46.33333,-23.76667
sp23,-46.3333,-23.7667
sp23,-43.508056,-20.287778
sp23,-43.214167,-18.085833
sp23,-46.201667,-23.4625
sp23,-43.216667,-18.086944
sp23,-46.384167,-23.546111
sp23,-45.4025,-23.391389
sp23,-46.282222,-23.51
sp23,-43.197778,-18.238611
sp23,-43.190278,-18.237778
sp23,-49.265556,-26.1925
sp23,-49.396667,-28.393056
sp23,-42.965556,-22.412222
sp23,-46.409722,-23.71
