sp,x,y
sp23,-48.58,-25.88
sp23,-41.796667,-20.434167
sp23,-46.555167,-23.896694
sp23,-41.86830139,-20.43330002
sp23,-49.750908,-25.437167
sp23,-49.772778,-25.484722
sp23,-46.289472,-23.772139
sp23,-43.016111,-22.275278
sp23,-43.41609955,-20.37779999
sp23,-48.9463,-25.7983
sp23,-49.19889832,-25.92810059
sp23,-43.789028,-18.035833
sp23,-46.645139,-23.916611
sp23,-43.225278,-18.174444
sp23,-48.5525,-26.044444
sp23,-41.834528,-20.418583
sp23,-46.41009164,-23.71386677
sp23,-46.384722,-23.548056
sp23,-46.333333,-23.766667
sp23,-44.677333,-22.394417
sp23,-43.356948,-18.449979
sp23,-45.699861,-23.643833
sp23,-48.819722,-25.131667
sp23,-49.05588151,-25.3096816
sp23,-46.554806,-23.927611
sp23,-48.923528,-26.078778
sp23,-46.331667,-23.553889
sp23,-43.692528,-18.275389
sp23,-43.337889,-18.407056
sp23,-45.415833,-23.383889
sp23,-46.447417,-23.805778
sp23,-43.36057,-18.0093
sp23,-48.979167,-26.032222
sp23,-43.381333,-18.295917
sp23,-46.281111,-23.506111
sp23,-43.636833,-18.269306
sp23,-43.313889,-18.385
sp23,-46.472556,-23.861056
sp23,-44.566667,-22.25
sp23,-43.188611,-18.238889
sp23,-49.34000015,-24.11000061
sp23,-45.539944,-22.772639
sp23,-44.288333,-17.681583
sp23,-43.030833,-22.462222
sp23,-50.24280167,-24.24580002
sp23,-43.228611,-22.404722
sp23,-46.033972,-23.665222
sp23,-45.673556,-23.653472
sp23,-40.775278,-19.796944
sp23,-46.41999817,-23.88999939
sp23,-49.443333,-25.263056
sp23,-43.195833,-18.130556
sp23,-44.413889,-22.455278
sp23,-43.448861,-20.420306
sp23,-48.778056,-25.256111
sp23,-47.762222,-22.096667
sp23,-42.29,-20.43
sp23,-49.365,-28.059444
sp23,-43.804722,-17.919444
sp23,-42.585278,-22.3525
sp23,-44.693917,-22.764333
sp23,-46.020278,-23.395556
sp23,-44.635028,-22.730806
sp23,-48.575833,-25.524444
sp23,-43.218889,-18.087222
sp23,-46.390833,-23.534722
sp23,-45.866667,-23.633333
sp23,-48.993147,-25.902389
sp23,-46.331944,-23.534722
sp23,-42.9657513,-22.4160521
sp23,-44.27275,-17.884639
sp23,-44.17219925,-17.75749969
sp23,-49.2662006,-26.19639287
sp23,-46.460365,-23.852485
sp23,-46.63000107,-23.54000092
sp23,-46.02999878,-23.56999969
sp23,-43.343539,-18.120395
sp23,-48.953333,-26.036667
sp23,-49.8637,-25.2682
sp23,-43.261111,-18.229722
sp23,-43.801111,-17.890555
sp23,-49.46360016,-24.1128006
sp23,-43.317389,-18.404722
sp23,-42.52080154,-20.66670036
sp23,-48.83440018,-25.4769001
sp23,-49.763889,-25.468056
sp23,-44.376667,-22.435
sp23,-49.215833,-28.032222
sp23,-44.158056,-17.530556
sp23,-42.483333,-20.716667
sp23,-49.205278,-24.268333
sp23,-41.500556,-20.246667
sp23,-45.84000015,-23.53000069
sp23,-49.8605556,-28.7038889
sp23,-48.666667,-25.6
sp23,-43.377222,-18.156944
sp23,-43.789167,-18.058333
sp23,-43.635,-18.186389
sp23,-49.269444,-24.253778
sp23,-43.20750046,-22.90279961
sp23,-49.161111,-24.151389
sp23,-43.621,-18.254472
sp23,-49.774692,-25.473164
sp23,-46.52999878,-23.65999985
