sp,x,y
sp30,-64.366667,4.05
sp30,-64.6733,4.08
sp30,-61.02,5.45
sp30,-59.98,4.8
sp30,-65.82,1.53
sp30,-60.6828,5.6183
sp30,-63.0,3.67
sp30,-60.58408,5.21686
sp30,-62.05,5.38
sp30,-59.84058,5.08142
sp30,-65.9806,0.8625
sp30,-63.3745909,0.9016571
sp30,-64.22,4.69
sp30,-59.95,5.416667
sp30,-59.983333,5.383333
sp30,-59.840583,5.081417
sp30,-62.116667,5.166667
sp30,-63.0,3.666667
sp30,-60.6827778,5.6183334
sp30,-62.05,5.3833333
sp30,-63.0166667,3.7
sp30,-65.38333,3.61666
sp30,-59.95,5.41666
sp30,-62.5,5.8333333
sp30,-59.835,5.08138
sp30,-63.0,3.6666667
sp30,-60.8333333,5.2166667
sp30,-60.2166667,5.26
sp30,-61.05,5.3166667
sp30,-62.5333333,5.6333333
sp30,-65.3833333,3.5833333
sp30,-61.0666667,5.51
sp30,-66.0666667,0.9
sp30,-59.9856,5.38833
sp30,-60.6828,5.61822
sp30,-60.77025,5.165664
sp30,-60.774155,5.155616
sp30,-60.771052,5.163771
