sp,x,y
sp30,-62.5,5.833333
sp30,-62.11666,5.9
sp30,-62.12,5.32
sp30,-63.5,6.3333
sp30,-61.1,4.58
sp30,-59.975,5.39167
sp30,-62.42,5.95
sp30,-62.548333,5.895833
sp30,-60.5841,5.21686
sp30,-62.03333,5.85
sp30,-64.22222,4.69444
sp30,-61.45,6.016667
sp30,-60.7167,5.25
sp30,-61.08,4.87
sp30,-63.374591,0.901657
sp30,-63.75,5.63333
sp30,-63.432778,0.923333
sp30,-65.78333,1.43333
sp30,-63.283333,0.85
sp30,-65.71666,3.25
sp30,-59.9833,4.8
sp30,-65.383333,3.583333
sp30,-65.33,3.58
sp30,-60.2164,5.61319
sp30,-62.05,5.383333
sp30,-65.45,3.6667
sp30,-63.016667,3.7
sp30,-72.7,0.9375
sp30,-63.316667,-0.816667
sp30,-66.066667,0.9
sp30,-62.68,6.28
sp30,-65.3333,3.5
sp30,-66.0417,0.9083
sp30,-61.58333,4.5
sp30,-63.320556,0.878056
sp30,-62.539779,5.903607
sp30,-61.0,5.92
sp30,-66.38,5.92
sp30,-62.08,5.37
sp30,-61.016667,5.45
sp30,-63.35,-0.85
sp30,-61.545909,5.676838
sp30,-62.18,5.42
sp30,-59.9833,5.38333
sp30,-63.7,5.9
sp30,-65.6333,3.3
sp30,-63.37,0.95
sp30,-65.383333,3.616667
sp30,-59.95,5.41667
sp30,-63.356111,0.865833
sp30,-62.45,5.4
sp30,-62.72,6.1
sp30,-60.833333,5.216667
sp30,-65.9119,7.0758
sp30,-60.6733017,2.81972003
sp30,-61.23,4.92
sp30,-60.85,5.32
sp30,-65.71666,3.38333
sp30,-61.5,-1.9
sp30,-61.094793,5.165597
sp30,-61.53333,4.41666
sp30,-61.97,5.25
sp30,-60.716667,5.266667
sp30,-63.32,0.816667
sp30,-63.0,3.6667
sp30,-62.63,5.92
sp30,-64.37,4.1734
sp30,-64.3667,4.05
sp30,-63.91805,4.775
sp30,-61.0833,5.93333
sp30,-61.2347,5.83278
sp30,-65.25,5.5
sp30,-60.73946,5.204126
sp30,-62.05,5.88333
sp30,-61.066667,5.51
sp30,-65.85,1.5
sp30,-59.8406,5.08142
sp30,-62.15,5.27
sp30,-66.002282,0.800876
sp30,-65.93333,0.88333
sp30,-61.5,5.83333
sp30,-62.27,5.17
sp30,-61.811142,5.767006
sp30,-65.35,3.616667
sp30,-64.43,4.75
sp30,-61.41666,5.66666
sp30,-64.569444,4.813889
sp30,-62.11666,5.16666
