sp,x,y
sp8,-48.934028,-15.844167
sp8,-55.839194,-15.389222
sp8,-46.761856,-10.56115
sp8,-55.687639,-15.479528
sp8,-61.147611,4.502194
sp8,-47.933333,-15.883333
sp8,-61.020803,-5.382228
sp8,-64.9400568,-9.6223322
sp8,-50.97,1.75
sp8,-67.25,-13.0833333
sp8,-72.6833333,2.4666667
sp8,-68.9005556,-12.7802778
sp8,-50.9667,1.75
sp8,-72.32774,3.28066
sp8,-72.32767,3.28067
sp8,-72.32318,3.27172
sp8,-72.32314,3.27165
sp8,-72.3232,3.27166
sp8,-72.32309,3.27167
sp8,-72.32296,3.27168
sp8,-72.32303,3.27166
sp8,-72.3229,3.27167
sp8,-80.83,7.72
sp8,-67.86889,5.33917
sp8,-84.476944,9.884167
sp8,-80.828056,7.722778
sp8,-72.683333,2.466667
