sp,x,y
sp8,-47.295,-13.5725
sp8,-65.3,7.53333
sp8,-47.676233,-0.607633
sp8,-52.16,4.35
sp8,-80.78333,7.78333
sp8,-52.388633,0.5545
sp8,-47.499422,-13.975092
sp8,-80.51666,7.56666
sp8,-80.846795,7.727682
sp8,-67.87569,3.81227
sp8,-80.83333,7.71666
sp8,-47.50999832,-14.13249969
sp8,-72.70969,2.466722
sp8,-72.32291,3.27579
sp8,-46.756,-10.592167
sp8,-65.785358,-11.343566
sp8,-72.682583,2.480957
sp8,-67.6,5.66666
sp8,-80.85555,8.4475
sp8,-61.02,-5.382228
sp8,-52.118775,0.722311
sp8,-52.118775,-0.722311
sp8,-54.8781,-9.6206
sp8,-55.782222,-10.903056
sp8,-47.860278,-24.809722
sp8,-80.85,7.71666
sp8,-48.14170074,-0.858332992
sp8,-64.95,-9.63333
sp8,-41.77280045,-13.15190029
sp8,-72.58,-7.62
sp8,-80.86055,8.43416
sp8,-68.900556,-12.780278
sp8,-60.985556,1.401778
sp8,-64.940057,-9.622332
sp8,-63.501763,0.549913
sp8,-72.69,2.49
sp8,-72.7,2.52
sp8,-67.5725,3.744722
sp8,-48.934306,-15.844
sp8,-63.410126,0.408423
sp8,-63.5,6.75
sp8,-49.003888,-14.390555
sp8,-80.833333,7.0
sp8,-52.46,4.78
sp8,-47.9025,-14.226389
sp8,-55.74969864,-15.4605999
sp8,-53.0,5.383333
sp8,-72.68,2.45
sp8,-72.31083,2.68667
sp8,-55.687778,-15.479444
sp8,-71.71992,4.26501
sp8,-47.295833,-13.583056
sp8,-46.761944,-10.561111
sp8,-60.819722,-1.484722
sp8,-72.68333,2.46667
sp8,-52.509102,4.892182
sp8,-71.516333,3.891909
sp8,-50.966667,1.75
sp8,-50.697806,-11.599278
sp8,-52.8731,-10.8339
sp8,-71.7,7.98333
sp8,-47.671625,-14.128222
sp8,-47.676111,-0.6075
sp8,-52.388633,-0.5545
sp8,-72.04933,4.17333
sp8,-52.416225,4.78428
sp8,-52.266667,4.583333
sp8,-84.485815,9.892706
sp8,-60.025,-3.10194
sp8,-73.696182,3.700446
sp8,-55.929796,1.969548
