sp,x,y
sp11,-43.507639,-19.224139
sp11,-41.883717,-13.37835
sp11,-41.845722,-13.3385
sp11,-39.0235,-13.71405
sp11,-43.552639,-19.260333
sp11,-43.560972,-19.294417
sp11,-43.558444,-19.303444
sp11,-43.563028,-19.293472
sp11,-43.497917,-19.221139
sp11,-43.589889,-19.240667
sp11,-41.85,-13.333333
sp11,-41.883333,-13.266667
sp11,-41.66360092,-13.24969959
sp11,-43.74499893,-19.5135994
sp11,-41.7728,-13.1519
sp11,-41.36667,-13.63333
sp11,-43.745,-19.5136111
sp11,-41.6636111,-13.2497222
sp11,-41.85,-13.326389
sp11,-41.8475,-13.431111
sp11,-43.5833,-19.1667
sp11,-43.333056,-19.181111
sp11,-43.303333,-19.135
sp11,-43.333889,-19.173889
sp11,-43.295278,-19.131667
sp11,-41.502778,-13.201111
sp11,-41.545278,-13.045278
sp11,-41.504444,-13.201944
sp11,-43.333333,-19.18
sp11,-43.200556,-18.125
