sp,x,y
sp17,-51.83275,-16.949517
sp17,-47.714028,-16.885806
sp17,-43.785472,-17.916694
sp17,-43.795069,-18.03425
sp17,-43.008028,-16.919056
sp17,-42.915072,-16.588811
sp17,-43.007778,-16.919472
sp17,-47.50999832,-14.13249969
sp17,-55.80725,-15.4151111
sp17,-48.0648,-16.0198
sp17,-47.6,-16.80422
sp17,-43.7922222,-17.915
sp17,-43.785556,-17.916667
sp17,-55.807222,-15.415
sp17,-42.545556,-16.351944
sp17,-47.4225,-16.530833
sp17,-47.254167,-13.551944
sp17,-43.194722,-17.048056
sp17,-47.425,-16.539722
