sp,x,y
sp35,-43.60029984,-18.24939919
sp35,-43.74499893,-19.5135994
sp35,-43.560972,-19.29225
sp35,-43.617417,-18.263278
sp35,-43.336667,-17.092194
sp35,-44.286528,-17.691
sp35,-43.620694,-18.261806
sp35,-43.903611,-18.597278
sp35,-43.564083,-19.305722
sp35,-43.563694,-19.292972
sp35,-43.560972,-19.294417
sp35,-43.3255,-18.212083
sp35,-43.560972,-19.292167
sp35,-43.613861,-18.259361
sp35,-43.542833,-19.319944
sp35,-43.558444,-19.303444
sp35,-43.563028,-19.293472
sp35,-43.562,-19.303944
sp35,-43.323583,-17.079667
sp35,-43.785472,-17.916694
sp35,-43.783611,-17.915444
sp35,-43.786056,-18.088944
sp35,-43.9,-18.591083
sp35,-43.6002778,-18.2494444
sp35,-43.745,-19.5136111
sp35,-43.5666667,-19.3
sp35,-43.333056,-19.181111
sp35,-43.323333,-19.191111
sp35,-43.47,-17.545556
sp35,-43.54,-18.352778
sp35,-44.168611,-17.404167
sp35,-43.194722,-17.048056
sp35,-43.3675,-18.154167
sp35,-43.334444,-19.181389
sp35,-43.334722,-19.173611
sp35,-43.365,-18.153333
sp35,-43.370278,-18.154722
sp35,-44.171111,-17.412778
sp35,-43.333889,-19.173889
sp35,-43.333889,-19.173056
