sp,x,y
sp35,-42.88970184,-16.55940056
sp35,-43.37939835,-18.60470009
sp35,-43.30889893,-17.06469917
sp35,-43.579694,-19.306028
sp35,-44.388972,-17.763778
sp35,-43.679222,-18.270167
sp35,-43.704583,-18.376
sp35,-43.584139,-19.256778
sp35,-43.329917,-17.089111
sp35,-43.720194,-18.282583
sp35,-43.47975,-18.48075
sp35,-43.474778,-18.463694
sp35,-43.842111,-18.309278
sp35,-44.257944,-17.870694
sp35,-44.287472,-17.692611
sp35,-44.290861,-17.678056
sp35,-43.566278,-18.272972
sp35,-43.449167,-18.460139
sp35,-43.548861,-18.349361
sp35,-43.557556,-19.261639
sp35,-43.537583,-19.319333
sp35,-43.621,-18.254611
sp35,-43.594194,-18.267972
sp35,-43.542722,-18.179333
sp35,-43.795069,-18.03425
sp35,-43.594972,-18.213444
sp35,-43.624417,-18.199222
sp35,-43.322194,-17.081583
sp35,-43.714769,-17.890303
sp35,-43.790319,-17.903803
sp35,-43.683333,-19.166667
sp35,-43.71440125,-19.16889954
sp35,-41.7728,-13.1519
sp35,-41.8755556,-13.5463889
sp35,-43.9025,-18.591111
sp35,-43.786111,-18.088889
sp35,-43.783611,-17.915556
sp35,-44.18000031,-17.87330055
sp35,-43.745,-19.513611
sp35,-43.600278,-18.249444
sp35,-43.570578,-18.195065
sp35,-43.323333,-18.104444
sp35,-43.193056,-18.124444
sp35,-43.474167,-18.020278
sp35,-43.471111,-18.051944
sp35,-43.353889,-18.160556
sp35,-43.470833,-17.55
sp35,-43.541389,-18.355
sp35,-43.283056,-18.275
sp35,-43.284722,-18.285
sp35,-44.231944,-17.455
sp35,-43.427222,-18.165833
sp35,-43.350278,-19.148333
sp35,-43.332778,-19.154167
sp35,-43.41,-19.1
sp35,-43.354167,-18.124722
sp35,-43.372778,-18.115833
sp35,-43.1925,-17.044722
sp35,-43.344722,-19.182222
sp35,-43.265833,-18.273611
sp35,-43.201111,-17.053056
sp35,-43.321667,-19.190833
sp35,-43.503056,-18.179444
sp35,-43.325556,-18.205833
sp35,-44.171389,-17.413333
sp35,-43.421667,-18.223333
sp35,-44.148889,-17.521389
sp35,-43.335833,-18.162222
sp35,-43.404444,-18.157222
sp35,-43.371667,-18.151667
sp35,-43.335,-19.181944
sp35,-43.408889,-18.21
sp35,-43.618298,-19.349615
sp35,-43.669525,-18.257496
sp35,-43.605443,-19.362972
sp35,-43.518889,-19.247222
sp35,-43.801111,-17.890555
sp35,-43.566667,-19.3
