sp,x,y
sp33,-43.754444,-18.292222
sp33,-43.68,-18.363744
sp33,-43.49884,-18.4718
sp33,-43.01079941,-16.87220001
sp33,-43.47109985,-18.07139969
sp33,-43.30889893,-17.06469917
sp33,-43.563056,-18.364806
sp33,-43.155333,-18.117889
sp33,-43.617417,-18.263278
sp33,-43.737361,-18.307694
sp33,-43.329917,-17.089111
sp33,-43.066167,-16.867806
sp33,-43.474778,-18.463694
sp33,-43.361528,-18.149472
sp33,-43.850528,-18.301806
sp33,-43.336806,-18.294083
sp33,-43.566278,-18.272972
sp33,-43.449167,-18.460139
sp33,-43.325611,-18.169972
sp33,-43.594194,-18.267972
sp33,-43.621,-18.254472
sp33,-43.795069,-18.03425
sp33,-43.75,-18.283333
sp33,-43.73575,-18.29795
sp33,-43.804722,-17.919444
sp33,-43.714769,-17.890303
sp33,-43.55,-18.3
sp33,-43.00920105,-18.29360008
sp33,-43.55,-18.18
sp33,-42.92,-16.53
sp33,-42.908,-16.558
sp33,-44.18000031,-17.87330055
sp33,-43.764167,-17.873333
sp33,-43.798611,-17.908611
sp33,-43.599167,-18.1875
sp33,-43.193333,-18.101111
sp33,-43.474167,-18.020278
sp33,-43.323333,-18.104444
sp33,-43.33,-18.18
sp33,-43.218889,-18.087222
sp33,-43.265833,-18.273611
sp33,-43.335833,-18.162222
sp33,-43.201111,-18.173889
sp33,-43.370278,-18.154722
sp33,-43.441389,-18.178889
sp33,-43.088056,-18.066389
sp33,-43.002778,-16.550833
sp33,-43.45,-18.17
sp33,-42.538611,-16.3225
sp33,-43.1925,-17.044722
sp33,-42.55,-16.32
sp33,-43.470833,-17.55
sp33,-43.353889,-18.160556
sp33,-43.506111,-18.176667
sp33,-43.035833,-16.516389
sp33,-43.023611,-16.510833
sp33,-43.200556,-18.125
sp33,-43.283056,-18.275
sp33,-43.334722,-18.215278
sp33,-43.785278,-17.916667
sp33,-43.322222,-17.081667
sp33,-43.007778,-16.919444
sp33,-43.040133,-16.855797
sp33,-42.890754,-16.539625
sp33,-43.235976,-17.055014
sp33,-43.60048982,-18.25317728
sp33,-42.8895409,-16.56314419
sp33,-47.0,-18.0
sp33,-43.542778,-18.158611
sp33,-42.906944,-16.539722
