sp,x,y
sp33,-43.60029984,-18.24939919
sp33,-42.88970184,-16.55940056
sp33,-43.475722,-18.467583
sp33,-43.375056,-18.153694
sp33,-43.361528,-18.150278
sp33,-43.043333,-16.8525
sp33,-43.335111,-18.213972
sp33,-43.621,-18.254611
sp33,-42.907167,-16.539972
sp33,-43.324617,-17.080133
sp33,-43.008028,-16.919056
sp33,-43.323583,-17.079667
sp33,-43.785472,-17.916694
sp33,-43.542722,-18.179333
sp33,-43.322194,-17.081583
sp33,-43.007778,-16.919472
sp33,-42.916667,-16.533333
sp33,-43.6003,-18.2494
sp33,-42.8894,-16.5594
sp33,-42.8913889,-16.5677778
sp33,-43.6002778,-18.2494444
sp33,-42.890556,-16.540278
sp33,-43.602385,-18.247628
sp33,-43.600278,-18.249444
sp33,-42.891389,-16.567778
sp33,-42.889444,-16.559444
sp33,-43.440833,-18.175278
sp33,-43.192778,-17.044722
sp33,-43.371667,-18.151667
sp33,-43.214167,-18.085833
sp33,-43.214167,-18.086111
sp33,-43.194722,-17.048056
sp33,-43.279167,-18.280278
