sp,x,y
sp37,-49.05,-25.75
sp37,-48.8287,-25.241
sp37,-50.16189957,-25.09499931
sp37,-50.41360092,-24.50939941
sp37,-49.7057991,-24.25110054
sp37,-42.53110123,-22.28190041
sp37,-49.63560104,-25.58390045
sp37,-45.59000015,-22.72999954
sp37,-46.63000107,-23.54000092
sp37,-49.714722,-25.538889
sp37,-41.90439987,-20.5230999
sp37,-43.82780075,-22.08919907
sp37,-43.531389,-21.584167
sp37,-46.56000137,-23.69000053
sp37,-43.39080048,-18.00419998
sp37,-43.894111,-21.692417
sp37,-43.878472,-21.673028
sp37,-43.887356,-21.978167
sp37,-47.54999924,-24.70000076
sp37,-43.524167,-21.402222
sp37,-49.52830124,-25.45859909
sp37,-43.5080986,-20.28750038
sp37,-46.6361,-23.5475
sp37,-48.83440018,-25.4769001
sp37,-42.983333,-22.466667
sp37,-43.883889,-21.684444
sp37,-41.86830139,-20.43330002
sp37,-43.533889,-21.413333
sp37,-41.803697,-20.429931
sp37,-49.39670181,-28.39279938
sp37,-43.79309845,-21.84250069
sp37,-43.643611,-18.25
sp37,-64.36666,-20.83333
sp37,-64.3775,-20.83194
sp37,-49.05530167,-25.30559921
sp37,-47.91999817,-25.01000023
sp37,-49.8266983,-24.15780067
sp37,-46.732201,-23.988001
sp37,-46.52999878,-23.65999985
sp37,-43.901389,-21.698556
sp37,-43.893922,-21.708915
sp37,-49.2655983,-26.19249916
