sp,x,y
sp14,-72.44,0.07
sp14,-60.976333,-3.653222
sp14,-72.316667,-0.416667
sp14,-65.9119,7.0758
sp14,-72.4205,-0.2355
sp14,-72.73806,1.09667
sp14,-70.48,0.36
sp14,-70.89,1.35
sp14,-67.851944,3.771111
sp14,-67.41444,3.52861
sp14,-59.151389,-0.441389
sp14,-67.43,3.52
sp14,-72.73,1.09
sp14,-63.38,0.416667
sp14,-67.0,1.95
sp14,-64.369778,4.858778
sp14,-72.6666667,1.0833333
sp14,-67.85,3.8
sp14,-67.65,3.52
sp14,-72.4,-0.58
sp14,-72.8333,1.1167
sp14,-67.1,3.066667
sp14,-65.633333,1.4
sp14,-67.84,3.53
sp14,-72.39,-0.58
sp14,-70.46,0.48
sp14,-67.79,3.87
sp14,-63.283333,-0.816667
sp14,-63.423111,0.902333
sp14,-65.924778,1.222639
sp14,-72.4,-0.59
sp14,-67.82,3.71
sp14,-71.161444,2.136611
sp14,-72.81075,1.125111
sp14,-70.95,1.37
sp14,-61.4,5.766667
sp14,-65.5833,3.25
sp14,-67.9,3.83
sp14,-63.283333,0.816667
sp14,-72.66,1.06
sp14,-72.66111,1.06972
