sp,x,y
sp22,-58.7017,4.7364
sp22,-59.0,5.0
sp22,-65.9119,7.0758
sp22,-62.75,3.83
sp22,-61.55,5.72
sp22,-63.42,5.85
sp22,-62.68,6.28
sp22,-62.63,5.92
sp22,-63.6856,5.7344
sp22,-61.92,5.3
sp22,-61.73,5.5
sp22,-60.716667,5.533333
sp22,-60.633333,5.95
sp22,-60.55,5.95
sp22,-62.25,5.91666
sp22,-61.5,5.66666
sp22,-61.5,4.5
sp22,-59.9856,5.38833
sp22,-60.6596,6.05889
sp22,-60.219,5.61767
sp22,-60.7965,5.57364
sp22,-59.4833,5.16667
sp22,-60.0667,5.46667
sp22,-60.3,5.70833
sp22,-61.2347,5.83278
sp22,-60.4167,6.06667
sp22,-59.9167,5.0
sp22,-60.65,5.45
sp22,-60.0,5.41667
sp22,-60.5841,5.21686
sp22,-60.2833,5.7
sp22,-60.2234,5.68806
sp22,-60.847,5.48078
sp22,-60.1167,5.53333
sp22,-60.25,5.76667
sp22,-60.066667,5.633333
sp22,-58.189622,6.44467
sp22,-56.914877,2.089923
sp22,-60.779999,5.56
sp22,-59.483333,5.183333
sp22,-59.391517,5.273241
sp22,-59.5,5.2
sp22,-63.016667,3.7
sp22,-63.583333,5.75
sp22,-61.533333,4.416667
sp22,-60.631944,5.714444
sp22,-63.27,0.04175
sp22,-63.32,0.816667
