sp,x,y
sp22,-63.316667,0.816667
sp22,-63.266944,0.04175
sp22,-60.25,5.77
sp22,-60.558,5.95
sp22,-60.28,5.7
sp22,-60.3014,5.7086
sp22,-60.84703,5.48078
sp22,-59.48,5.18
sp22,-60.1167,5.5333
sp22,-60.22344,5.6881
sp22,-60.65956,6.0589
sp22,-60.07,5.63
sp22,-60.0,5.42
sp22,-60.42,6.07
sp22,-60.0,5.416667
sp22,-60.25,5.766667
sp22,-59.483333,5.166667
sp22,-60.116667,5.533333
sp22,-60.283333,5.7
sp22,-60.6319445,5.7144444
sp22,-60.0,5.4166667
sp22,-60.06666,5.63333
sp22,-60.11666,5.53333
sp22,-61.5333333,4.4166667
sp22,-61.53333,4.41666
sp22,-63.0166667,3.7
sp22,-63.5833333,5.75
sp22,-60.7844,5.55933
sp22,-60.3015,5.70856
sp22,-60.782,5.55931
sp22,-60.632,5.71453
sp22,-59.4833,5.18333
sp22,-59.480753,5.176516
sp22,-58.189463,6.444405
sp22,-59.484482,5.179918
sp22,-59.482234,5.177343
