sp,x,y
sp6,-43.590306,-19.3005
sp6,-43.560972,-19.29225
sp6,-43.589694,-19.299917
sp6,-43.903611,-18.597278
sp6,-43.566278,-18.272972
sp6,-43.556583,-19.288683
sp6,-43.334472,-18.215972
sp6,-43.560972,-19.292167
sp6,-43.563028,-19.293472
sp6,-43.750815,-18.925628
sp6,-43.785472,-17.916694
sp6,-43.795069,-18.03425
sp6,-43.780194,-17.913833
sp6,-43.74499893,-19.5135994
sp6,-43.5802778,-19.2930556
sp6,-43.3422,-18.2283
sp6,-43.7922222,-17.9036111
sp6,-43.785556,-17.916667
sp6,-43.348333,-19.175833
sp6,-43.745,-19.5136111
sp6,-43.580483,-19.293283
sp6,-43.334722,-19.173611
sp6,-43.333889,-19.173333
sp6,-43.332778,-19.1825
sp6,-43.333889,-19.173056
sp6,-43.465,-17.545
