sp,x,y
sp6,-43.56925,-19.305583
sp6,-43.563056,-18.364806
sp6,-43.548944,-19.322917
sp6,-43.47975,-18.48075
sp6,-43.557556,-19.261639
sp6,-43.557333,-19.306861
sp6,-43.766597,-17.922189
sp6,-43.755842,-17.88655
sp6,-43.732994,-17.889992
sp6,-43.816667,-18.833333
sp6,-43.71440125,-19.16889954
sp6,-43.60029984,-18.24939919
sp6,-43.6,-19.25
sp6,-43.9025,-18.591111
sp6,-43.795,-18.034167
sp6,-43.780278,-17.913889
sp6,-43.792222,-17.903611
sp6,-43.745,-19.513611
sp6,-43.556667,-19.288611
sp6,-43.200278,-18.125833
sp6,-43.49,-18.5
sp6,-43.580278,-19.293056
sp6,-43.332778,-19.154167
sp6,-43.452222,-17.531111
sp6,-43.541389,-18.355
sp6,-43.336944,-19.178056
sp6,-43.325556,-19.192222
sp6,-43.456111,-17.551944
sp6,-43.474167,-18.020278
sp6,-43.750833,-18.925556
sp6,-43.470833,-17.55
sp6,-43.348611,-19.176111
sp6,-43.334722,-18.215278
sp6,-43.284722,-18.285
sp6,-43.335833,-18.162222
sp6,-43.589722,-19.3
sp6,-43.592187,-19.284078
sp6,-43.566537,-18.272925
sp6,-43.342222,-18.228333
