sp,x,y
sp38,-49.46360016,-24.1128006
sp38,-50.24280167,-24.24580002
sp38,-49.94860077,-24.52610016
sp38,-48.987444,-26.2825
sp38,-46.75,-23.900083
sp38,-46.136194,-23.677
sp38,-46.338028,-23.774222
sp38,-50.347456,-26.758069
sp38,-49.904489,-26.173828
sp38,-49.724878,-25.440833
sp38,-49.714636,-25.538583
sp38,-46.90999985,-23.60000038
sp38,-46.52999878,-23.65999985
sp38,-46.63000107,-23.54000092
sp38,-49.34000015,-24.11000061
sp38,-45.0,-23.900278
sp38,-49.774692,-25.473164
sp38,-50.06579971,-28.74830055
sp38,-50.1446991,-29.04780006
sp38,-49.7057991,-24.25110054
sp38,-50.05146294,-29.38066711
sp38,-50.03147944,-29.35903135
sp38,-50.031916,-29.349415
sp38,-50.175487,-29.106384
sp38,-50.326701,-28.715067
sp38,-50.13565,-29.318888
sp38,-46.254018,-19.196274
sp38,-49.742778,-25.441944
sp38,-49.651389,-25.464444
sp38,-50.261667,-24.584167
sp38,-49.991944,-25.2475
sp38,-49.811111,-25.374722
sp38,-45.473333,-21.116111
sp38,-50.2547,-24.563442
