sp,x,y
sp38,-48.987444,-26.2825
sp38,-49.46360016,-24.1128006
sp38,-50.24280167,-24.24580002
sp38,-49.651389,-25.464444
sp38,-50.031916,-29.349415
sp38,-49.714636,-25.538583
sp38,-46.63000107,-23.54000092
sp38,-50.06579971,-28.74830055
sp38,-50.1446991,-29.04780006
sp38,-45.473333,-21.116111
sp38,-50.05146294,-29.38066711
sp38,-50.175487,-29.106384
sp38,-49.724878,-25.440833
sp38,-49.742778,-25.441944
sp38,-50.03147944,-29.35903135
sp38,-46.338028,-23.774222
sp38,-49.904489,-26.173828
sp38,-49.34000015,-24.11000061
sp38,-46.75,-23.900083
sp38,-45.0,-23.900278
sp38,-46.254018,-19.196274
sp38,-50.261667,-24.584167
sp38,-49.774692,-25.473164
sp38,-46.90999985,-23.60000038
