sp,x,y
sp16,-43.4075,-20.0747
sp16,-43.706944,-19.066111
sp16,-43.563333,-18.201667
sp16,-43.438611,-18.415556
sp16,-42.88970184,-16.55940056
sp16,-48.27719879,-18.91860008
sp16,-44.0,-18.0
sp16,-43.40750122,-20.0746994
sp16,-43.41529846,-19.95940018
sp16,-44.096503,-19.690239
sp16,-43.6,-18.25
sp16,-43.01079941,-16.87220001
sp16,-43.47109985,-18.07139969
sp16,-43.00920105,-18.29360008
sp16,-43.71440125,-19.16889954
sp16,-43.795,-18.034167
sp16,-43.780278,-17.913889
sp16,-43.735833,-18.298056
sp16,-43.008056,-16.919167
sp16,-43.5080986,-20.28750038
sp16,-43.471944,-20.090833
sp16,-43.4899,-18.469842
sp16,-43.281944,-20.0525
sp16,-43.4225,-19.035833
sp16,-43.05,-16.916667
sp16,-43.492778,-20.1263
sp16,-43.043333,-16.8525
