sp,x,y
sp34,-43.509417,-19.24875
sp34,-43.537556,-19.319333
sp34,-43.592139,-19.237194
sp34,-43.581111,-19.237361
sp34,-43.523611,-19.259944
sp34,-43.518233,-19.246783
sp34,-43.71440125,-19.16889954
sp34,-43.618295,-19.349617
sp34,-43.583889,-19.2475
sp34,-43.741667,-18.962778
sp34,-43.321389,-19.190833
sp34,-43.583611,-19.266667
sp34,-43.305278,-19.145
sp34,-43.334444,-19.181389
sp34,-43.559722,-19.299722
sp34,-43.498889,-19.235
sp34,-43.345278,-19.141389
sp34,-43.3125,-19.153611
sp34,-43.353611,-19.134722
sp34,-43.564832,-19.246566
