sp,x,y
sp34,-43.741681,-18.96264
sp34,-43.558444,-19.303444
sp34,-43.562,-19.303944
sp34,-43.559733,-19.29975
sp34,-43.583817,-19.2474
sp34,-43.583617,-19.266667
sp34,-43.522167,-19.257722
sp34,-43.564633,-19.303417
sp34,-43.559861,-19.301556
sp34,-43.594139,-19.231139
sp34,-43.59325,-19.230056
sp34,-43.57875,-19.236944
sp34,-43.498817,-19.2351
sp34,-43.518167,-19.246361
sp34,-43.514306,-19.247222
sp34,-43.333611,-19.180556
sp34,-43.564722,-19.303333
sp34,-43.310556,-19.144722
sp34,-43.333056,-19.181111
sp34,-43.303333,-19.145556
sp34,-43.335278,-19.181111
sp34,-43.311944,-19.152778
sp34,-43.353056,-19.141389
sp34,-43.344444,-19.141389
sp34,-43.353889,-19.135278
