sp,x,y
sp25,-61.170225,5.992599315
sp25,-60.53275293,4.284128624
sp25,-64.33252609,-0.908193167
sp25,-64.87973541,5.978315352
sp25,-61.56207924,-0.950706602
sp25,-65.73793137,2.148233428
sp25,-66.06662001,2.749214937
sp25,-60.90670208,1.267562106
sp25,-60.7469103,-2.422347575
sp25,-63.9085814,1.852980968
sp25,-64.96302586,7.106234712
sp25,-64.54309707,6.935493787
sp25,-65.20097026,0.114353174
sp25,-60.0870134,0.942557917
sp25,-63.93540273,3.546968703
sp25,-64.49773046,-1.189159157
sp25,-61.79267168,-0.280787294
sp25,-63.26379633,5.205605542
sp25,-62.12214202,-1.31337443
sp25,-65.87185645,-2.705371832
sp25,-62.75028729,0.599171664
sp25,-61.02659358,5.392619457
sp25,-64.65934733,7.051044497
sp25,-62.55746691,3.506374637
sp25,-63.45941272,6.628240383
sp25,-61.38348854,-1.621706959
sp25,-60.72650357,-0.636633482
sp25,-62.26726109,-2.299562696
sp25,-62.80545537,4.398101724
sp25,-63.39630188,1.494316534
sp25,-61.24335038,6.306867091
sp25,-62.24907178,-1.790607483
sp25,-63.73329912,0.031594429
sp25,-60.54292486,3.902137479
sp25,-60.77383026,4.152662735
sp25,-61.8414942,6.125393716
sp25,-62.71576561,-2.670314305
sp25,-65.13168399,1.100332847
