sp,x,y
sp1,-60.67315478,0.000500746
sp1,-61.55006978,-2.633296022
sp1,-61.04708747,0.531102716
sp1,-61.5340735,-0.572547094
sp1,-61.40232407,-0.255668411
sp1,-60.51234366,-1.870610971
sp1,-61.19411036,-2.388603644
sp1,-61.16137726,-1.840678205
sp1,-61.22478927,-2.390519769
sp1,-61.37475763,-1.497598696
sp1,-60.93245241,-1.469353791
sp1,-60.79045106,0.47591134
sp1,-60.75629664,0.306739269
sp1,-61.23329359,-0.449620155
sp1,-60.94633734,1.009103822
sp1,-60.28137029,0.238205301
sp1,-60.88665585,-0.093307674
sp1,-61.6344449,-1.620963773
sp1,-61.64758472,-1.524428518
sp1,-61.23254489,-0.773699898
sp1,-60.53112462,-0.485907894
sp1,-61.01380434,-1.024236909
sp1,-61.05182509,-2.227167822
sp1,-61.19112042,-0.450079667
sp1,-60.87728998,-1.437195279
sp1,-61.39838492,-2.134482408
sp1,-60.48164677,-1.093731225
sp1,-61.20363418,0.978546822
sp1,-61.34611737,-1.606604236
sp1,-60.74251047,-1.890456994
sp1,-61.3441994,-0.942264723
sp1,-60.70404946,-2.022631866
sp1,-61.38458112,-1.299808967
sp1,-61.12832003,0.943978477
sp1,-60.4718026,1.029540957
