sp,x,y
sp39,-66.2263702,5.726336624
sp39,-66.20217251,5.747491581
sp39,-66.17551261,5.685519617
sp39,-66.17108995,5.762038062
sp39,-66.13601478,5.687724835
sp39,-66.16693002,5.761010858
sp39,-66.14568162,5.6956286
sp39,-66.21470229,5.686647136
sp39,-66.2174647,5.761963246
sp39,-66.18521149,5.722329255
sp39,-66.17272846,5.755291531
sp39,-66.17669724,5.723862474
sp39,-66.23774225,5.728609174
sp39,-66.1424151,5.687192785
sp39,-66.23040153,5.725748931
sp39,-66.17443773,5.683449568
sp39,-66.1830733,5.694430252
sp39,-66.21084005,5.73445959
sp39,-66.21104371,5.686706926
sp39,-66.2257433,5.741416974
sp39,-66.23546086,5.73321445
